,Product_name,Product_Prices
0,Chilli Green 200 g,₹34
1,Cauliflower 1 Units,₹35
2,Potato Agra 1 kg,₹32
3,Mushroom Button 200 g,₹35
4,Garlic 250 g,₹139
5,Tomato Local Red 1 kg,₹72
6,Coconut 1 Units,₹43
7,Tomato Hybrid 1 kg,₹19
8,Carrot 500 g,₹21
9,Onion 1 kg,₹19
10,Ginger 100 g,₹19
11,Capsicum Green 500 g,₹48
12,Potato Agra 2 kg,₹67
13,Sweet Corn 2 Units,₹65
14,Cabbage 1 Units,₹54
15,Beans Cluster 500 g,₹68
16,Lemon 250 g,₹44
17,Coccinia 500 g,₹43
18,Ginger 250 g,₹33
19,Beans French 250 g,₹43
20,Chow Chow 500 g,₹45
21,Onion 3 kg,₹124
22,Beans Cluster 250 g,₹17
23,Cucumber Local 1 kg,₹35
24,Garlic 100 g,₹46
25,Garlic Peeled 100 g,₹39
26,Beetroot 1 kg,₹57
27,Raw Banana 500 g,₹53
28,Sweet Corn Peeled 250 g,₹35
29,Onion 2 kg,₹122
30,Knol Khol 500 g,₹42
31,Bitter gourd 500 g,₹32
32,Ladies Finger 500 g,₹35
33,Brinjal Bottle shape 500 g,₹43
34,Baby Potato 250 g,₹9
35,Onion 5 kg,₹136
36,Beans French 500 g,₹56
37,Onion - Sambhar 500 g,₹63
38,Beans - Broad 250 g,₹23
39,Broccoli 1 kg,₹200
40,Chilli Green 200 g,₹17
41,Cauliflower 1 Units,₹40
42,Potato Agra 1 kg,₹40
43,Mushroom Button 200 g,₹39
44,Garlic 250 g,₹135
45,Tomato Local Red 1 kg,₹70
46,Coconut 1 Units,₹39
47,Tomato Hybrid 1 kg,₹15
48,Carrot 500 g,₹25
49,Onion 1 kg,₹17
50,Ginger 100 g,₹15
51,Capsicum Green 500 g,₹41
52,Potato Agra 2 kg,₹64
53,Sweet Corn 2 Units,₹37
54,Cabbage 1 Units,₹45
55,Beans Cluster 500 g,₹35
56,Lemon 250 g,₹54
57,Coccinia 500 g,₹43
58,Ginger 250 g,₹33
59,Beans French 250 g,₹43
60,Chow Chow 500 g,₹45
61,Onion 3 kg,₹124
62,Beans Cluster 250 g,₹17
63,Cucumber Local 1 kg,₹35
64,Garlic 100 g,₹46
65,Garlic Peeled 100 g,₹39
66,Beetroot 1 kg,₹57
67,Raw Banana 500 g,₹53
68,Sweet Corn Peeled 250 g,₹35
69,Onion 2 kg,₹122
70,Knol Khol 500 g,₹42
71,Bitter gourd 500 g,₹32
72,Ladies Finger 500 g,₹35
73,Brinjal Bottle shape 500 g,₹43
74,Baby Potato 250 g,₹9
75,Onion 5 kg,₹136
76,Beans French 500 g,₹56
77,Onion - Sambhar 500 g,₹63
78,Beans - Broad 250 g,₹23
79,Broccoli 1 kg,₹200
80,Chilli Green 200 g,₹17
81,Cauliflower 1 Units,₹40
82,Potato Agra 1 kg,₹40
83,Mushroom Button 200 g,₹39
84,Garlic 250 g,₹135
85,Tomato Local Red 1 kg,₹70
86,Coconut 1 Units,₹39
87,Tomato Hybrid 1 kg,₹15
88,Carrot 500 g,₹25
89,Onion 1 kg,₹17
90,Ginger 100 g,₹15
91,Capsicum Green 500 g,₹41
92,Potato Agra 2 kg,₹64
93,Sweet Corn 2 Units,₹37
94,Cabbage 1 Units,₹45
95,Beans Cluster 500 g,₹35
96,Lemon 250 g,₹54
97,Coccinia 500 g,₹43
98,Ginger 250 g,₹33
99,Beans French 250 g,₹43
100,Chow Chow 500 g,₹45
101,Onion 3 kg,₹124
102,Beans Cluster 250 g,₹17
103,Cucumber Local 1 kg,₹35
104,Garlic 100 g,₹46
105,Garlic Peeled 100 g,₹39
106,Beetroot 1 kg,₹57
107,Raw Banana 500 g,₹53
108,Sweet Corn Peeled 250 g,₹35
109,Onion 2 kg,₹122
110,Knol Khol 500 g,₹42
111,Bitter gourd 500 g,₹32
112,Ladies Finger 500 g,₹35
113,Brinjal Bottle shape 500 g,₹43
114,Baby Potato 250 g,₹9
115,Onion 5 kg,₹137
116,Beans French 500 g,₹59
117,Onion - Sambhar 500 g,₹68
118,Beans - Broad 250 g,₹29
119,Broccoli 1 kg,₹198
